Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T02:00+01:00;2026-03-11T03:00+01:00;2026-03-11;02:00;03:00;1;10;100,0;1;1;0;0;100,00;9;1;1;0;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T02:00+01:00;2026-03-11T03:00+01:00;2026-03-11;02:00;03:00;3;3;100,0;1;1;0;0;100,00;3;0;0;0;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T02:00+01:00;2026-03-11T03:00+01:00;2026-03-11;02:00;03:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T02:00+01:00;2026-03-11T03:00+01:00;2026-03-11;02:00;03:00;Totalt i retning Øst;13;100,0;1;1;0;0;100,00;12;1;1;0;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T02:00+01:00;2026-03-11T03:00+01:00;2026-03-11;02:00;03:00;Totalt;13;100,0;1;1;0;0;100,00;12;1;1;0;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T03:00+01:00;2026-03-11T04:00+01:00;2026-03-11;03:00;04:00;1;15;100,0;1;1;0;0;100,00;11;4;3;0;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T03:00+01:00;2026-03-11T04:00+01:00;2026-03-11;03:00;04:00;3;5;100,0;1;1;0;0;100,00;5;0;0;0;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T03:00+01:00;2026-03-11T04:00+01:00;2026-03-11;03:00;04:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T03:00+01:00;2026-03-11T04:00+01:00;2026-03-11;03:00;04:00;Totalt i retning Øst;20;100,0;1;1;0;0;100,00;16;4;3;0;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T03:00+01:00;2026-03-11T04:00+01:00;2026-03-11;03:00;04:00;Totalt;20;100,0;1;1;0;0;100,00;16;4;3;0;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T04:00+01:00;2026-03-11T05:00+01:00;2026-03-11;04:00;05:00;1;16;100,0;1;1;0;0;100,00;11;5;3;1;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T04:00+01:00;2026-03-11T05:00+01:00;2026-03-11;04:00;05:00;3;8;100,0;1;1;0;0;100,00;6;2;1;0;1;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T04:00+01:00;2026-03-11T05:00+01:00;2026-03-11;04:00;05:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T04:00+01:00;2026-03-11T05:00+01:00;2026-03-11;04:00;05:00;Totalt i retning Øst;24;100,0;1;1;0;0;100,00;17;7;4;1;1;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T04:00+01:00;2026-03-11T05:00+01:00;2026-03-11;04:00;05:00;Totalt;24;100,0;1;1;0;0;100,00;17;7;4;1;1;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T05:00+01:00;2026-03-11T06:00+01:00;2026-03-11;05:00;06:00;1;20;100,0;1;1;0;0;100,00;20;0;0;0;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T05:00+01:00;2026-03-11T06:00+01:00;2026-03-11;05:00;06:00;3;11;100,0;1;1;0;0;100,00;5;6;0;0;1;5;5;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T05:00+01:00;2026-03-11T06:00+01:00;2026-03-11;05:00;06:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T05:00+01:00;2026-03-11T06:00+01:00;2026-03-11;05:00;06:00;Totalt i retning Øst;31;100,0;1;1;0;0;100,00;25;6;0;0;1;5;5;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T05:00+01:00;2026-03-11T06:00+01:00;2026-03-11;05:00;06:00;Totalt;31;100,0;1;1;0;0;100,00;25;6;0;0;1;5;5;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T06:00+01:00;2026-03-11T07:00+01:00;2026-03-11;06:00;07:00;1;36;100,0;1;1;0;0;100,00;30;6;3;2;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T06:00+01:00;2026-03-11T07:00+01:00;2026-03-11;06:00;07:00;3;24;100,0;1;1;0;0;100,00;5;19;1;2;0;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T06:00+01:00;2026-03-11T07:00+01:00;2026-03-11;06:00;07:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T06:00+01:00;2026-03-11T07:00+01:00;2026-03-11;06:00;07:00;Totalt i retning Øst;60;100,0;1;1;0;0;100,00;35;25;4;4;0;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T06:00+01:00;2026-03-11T07:00+01:00;2026-03-11;06:00;07:00;Totalt;60;100,0;1;1;0;0;100,00;35;25;4;4;0;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T07:00+01:00;2026-03-11T08:00+01:00;2026-03-11;07:00;08:00;1;52;100,0;1;1;0;0;100,00;43;9;3;2;1;3;3;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T07:00+01:00;2026-03-11T08:00+01:00;2026-03-11;07:00;08:00;3;39;100,0;1;1;0;0;100,00;8;31;0;2;2;27;27;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T07:00+01:00;2026-03-11T08:00+01:00;2026-03-11;07:00;08:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T07:00+01:00;2026-03-11T08:00+01:00;2026-03-11;07:00;08:00;Totalt i retning Øst;91;100,0;1;1;0;0;100,00;51;40;3;4;3;30;30;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T07:00+01:00;2026-03-11T08:00+01:00;2026-03-11;07:00;08:00;Totalt;91;100,0;1;1;0;0;100,00;51;40;3;4;3;30;30;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T08:00+01:00;2026-03-11T09:00+01:00;2026-03-11;08:00;09:00;1;63;100,0;1;1;0;1;98,41;52;10;3;4;0;3;3;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T08:00+01:00;2026-03-11T09:00+01:00;2026-03-11;08:00;09:00;3;41;100,0;1;1;0;1;97,56;6;34;0;1;2;31;31;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T08:00+01:00;2026-03-11T09:00+01:00;2026-03-11;08:00;09:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T08:00+01:00;2026-03-11T09:00+01:00;2026-03-11;08:00;09:00;Totalt i retning Øst;104;100,0;1;1;0;2;98,08;58;44;3;5;2;34;34;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T08:00+01:00;2026-03-11T09:00+01:00;2026-03-11;08:00;09:00;Totalt;104;100,0;1;1;0;2;98,08;58;44;3;5;2;34;34;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T09:00+01:00;2026-03-11T10:00+01:00;2026-03-11;09:00;10:00;1;84;100,0;1;1;0;1;98,81;75;8;4;4;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T09:00+01:00;2026-03-11T10:00+01:00;2026-03-11;09:00;10:00;3;35;100,0;1;1;0;2;94,29;10;23;0;0;2;21;21;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T09:00+01:00;2026-03-11T10:00+01:00;2026-03-11;09:00;10:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T09:00+01:00;2026-03-11T10:00+01:00;2026-03-11;09:00;10:00;Totalt i retning Øst;119;100,0;1;1;0;3;97,48;85;31;4;4;2;21;21;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T09:00+01:00;2026-03-11T10:00+01:00;2026-03-11;09:00;10:00;Totalt;119;100,0;1;1;0;3;97,48;85;31;4;4;2;21;21;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T10:00+01:00;2026-03-11T11:00+01:00;2026-03-11;10:00;11:00;1;95;100,0;1;1;0;0;100,00;81;14;8;5;1;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T10:00+01:00;2026-03-11T11:00+01:00;2026-03-11;10:00;11:00;3;29;100,0;1;1;0;0;100,00;10;19;1;1;1;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T10:00+01:00;2026-03-11T11:00+01:00;2026-03-11;10:00;11:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T10:00+01:00;2026-03-11T11:00+01:00;2026-03-11;10:00;11:00;Totalt i retning Øst;124;100,0;1;1;0;0;100,00;91;33;9;6;2;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T10:00+01:00;2026-03-11T11:00+01:00;2026-03-11;10:00;11:00;Totalt;124;100,0;1;1;0;0;100,00;91;33;9;6;2;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T11:00+01:00;2026-03-11T12:00+01:00;2026-03-11;11:00;12:00;1;106;100,0;1;1;0;3;97,17;90;13;9;3;1;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T11:00+01:00;2026-03-11T12:00+01:00;2026-03-11;11:00;12:00;3;34;100,0;1;1;0;0;100,00;12;22;3;1;1;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T11:00+01:00;2026-03-11T12:00+01:00;2026-03-11;11:00;12:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T11:00+01:00;2026-03-11T12:00+01:00;2026-03-11;11:00;12:00;Totalt i retning Øst;140;100,0;1;1;0;3;97,86;102;35;12;4;2;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T11:00+01:00;2026-03-11T12:00+01:00;2026-03-11;11:00;12:00;Totalt;140;100,0;1;1;0;3;97,86;102;35;12;4;2;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T12:00+01:00;2026-03-11T13:00+01:00;2026-03-11;12:00;13:00;1;117;100,0;1;1;0;2;98,29;103;12;10;1;1;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T12:00+01:00;2026-03-11T13:00+01:00;2026-03-11;12:00;13:00;3;35;100,0;1;1;0;0;100,00;14;21;0;0;2;19;19;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T12:00+01:00;2026-03-11T13:00+01:00;2026-03-11;12:00;13:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T12:00+01:00;2026-03-11T13:00+01:00;2026-03-11;12:00;13:00;Totalt i retning Øst;152;100,0;1;1;0;2;98,68;117;33;10;1;3;19;19;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T12:00+01:00;2026-03-11T13:00+01:00;2026-03-11;12:00;13:00;Totalt;152;100,0;1;1;0;2;98,68;117;33;10;1;3;19;19;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T13:00+01:00;2026-03-11T14:00+01:00;2026-03-11;13:00;14:00;1;122;100,0;1;1;0;2;98,36;111;9;6;2;1;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T13:00+01:00;2026-03-11T14:00+01:00;2026-03-11;13:00;14:00;3;43;100,0;1;1;0;0;100,00;23;20;1;2;1;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T13:00+01:00;2026-03-11T14:00+01:00;2026-03-11;13:00;14:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T13:00+01:00;2026-03-11T14:00+01:00;2026-03-11;13:00;14:00;Totalt i retning Øst;165;100,0;1;1;0;2;98,79;134;29;7;4;2;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T13:00+01:00;2026-03-11T14:00+01:00;2026-03-11;13:00;14:00;Totalt;165;100,0;1;1;0;2;98,79;134;29;7;4;2;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T14:00+01:00;2026-03-11T15:00+01:00;2026-03-11;14:00;15:00;1;149;100,0;1;1;0;4;97,32;136;9;8;1;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T14:00+01:00;2026-03-11T15:00+01:00;2026-03-11;14:00;15:00;3;37;100,0;1;1;0;0;100,00;12;25;0;1;2;22;22;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T14:00+01:00;2026-03-11T15:00+01:00;2026-03-11;14:00;15:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T14:00+01:00;2026-03-11T15:00+01:00;2026-03-11;14:00;15:00;Totalt i retning Øst;186;100,0;1;1;0;4;97,85;148;34;8;2;2;22;22;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T14:00+01:00;2026-03-11T15:00+01:00;2026-03-11;14:00;15:00;Totalt;186;100,0;1;1;0;4;97,85;148;34;8;2;2;22;22;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T15:00+01:00;2026-03-11T16:00+01:00;2026-03-11;15:00;16:00;1;125;100,0;1;1;0;3;97,60;115;7;4;1;0;2;2;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T15:00+01:00;2026-03-11T16:00+01:00;2026-03-11;15:00;16:00;3;62;100,0;1;1;0;1;98,39;14;47;2;2;5;38;38;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T15:00+01:00;2026-03-11T16:00+01:00;2026-03-11;15:00;16:00;Totalt i retning Vest;1;100,0;1;1;0;1;0,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T15:00+01:00;2026-03-11T16:00+01:00;2026-03-11;15:00;16:00;Totalt i retning Øst;186;100,0;1;1;0;4;97,85;129;53;6;3;5;39;39;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T15:00+01:00;2026-03-11T16:00+01:00;2026-03-11;15:00;16:00;Totalt;187;100,0;1;1;0;4;97,86;129;54;6;3;5;40;40;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T16:00+01:00;2026-03-11T17:00+01:00;2026-03-11;16:00;17:00;1;100;100,0;1;1;0;1;99,00;94;5;3;2;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T16:00+01:00;2026-03-11T17:00+01:00;2026-03-11;16:00;17:00;3;61;100,0;1;1;0;1;98,36;10;50;0;1;6;43;43;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T16:00+01:00;2026-03-11T17:00+01:00;2026-03-11;16:00;17:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T16:00+01:00;2026-03-11T17:00+01:00;2026-03-11;16:00;17:00;Totalt i retning Øst;161;100,0;1;1;0;2;98,76;104;55;3;3;6;43;43;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T16:00+01:00;2026-03-11T17:00+01:00;2026-03-11;16:00;17:00;Totalt;161;100,0;1;1;0;2;98,76;104;55;3;3;6;43;43;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T17:00+01:00;2026-03-11T18:00+01:00;2026-03-11;17:00;18:00;1;135;100,0;1;1;0;4;97,04;129;2;0;1;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T17:00+01:00;2026-03-11T18:00+01:00;2026-03-11;17:00;18:00;3;56;100,0;1;1;0;0;100,00;14;42;1;1;3;37;37;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T17:00+01:00;2026-03-11T18:00+01:00;2026-03-11;17:00;18:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T17:00+01:00;2026-03-11T18:00+01:00;2026-03-11;17:00;18:00;Totalt i retning Øst;191;100,0;1;1;0;4;97,91;143;44;1;2;3;38;38;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T17:00+01:00;2026-03-11T18:00+01:00;2026-03-11;17:00;18:00;Totalt;191;100,0;1;1;0;4;97,91;143;44;1;2;3;38;38;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T18:00+01:00;2026-03-11T19:00+01:00;2026-03-11;18:00;19:00;1;97;100,0;1;1;0;2;97,94;90;5;3;1;1;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T18:00+01:00;2026-03-11T19:00+01:00;2026-03-11;18:00;19:00;3;36;100,0;1;1;0;2;94,44;11;23;0;1;2;20;20;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T18:00+01:00;2026-03-11T19:00+01:00;2026-03-11;18:00;19:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T18:00+01:00;2026-03-11T19:00+01:00;2026-03-11;18:00;19:00;Totalt i retning Øst;133;100,0;1;1;0;4;96,99;101;28;3;2;3;20;20;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T18:00+01:00;2026-03-11T19:00+01:00;2026-03-11;18:00;19:00;Totalt;133;100,0;1;1;0;4;96,99;101;28;3;2;3;20;20;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T19:00+01:00;2026-03-11T20:00+01:00;2026-03-11;19:00;20:00;1;86;100,0;1;1;0;0;100,00;85;1;0;1;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T19:00+01:00;2026-03-11T20:00+01:00;2026-03-11;19:00;20:00;3;29;100,0;1;1;0;0;100,00;10;19;0;0;2;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T19:00+01:00;2026-03-11T20:00+01:00;2026-03-11;19:00;20:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T19:00+01:00;2026-03-11T20:00+01:00;2026-03-11;19:00;20:00;Totalt i retning Øst;115;100,0;1;1;0;0;100,00;95;20;0;1;2;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T19:00+01:00;2026-03-11T20:00+01:00;2026-03-11;19:00;20:00;Totalt;115;100,0;1;1;0;0;100,00;95;20;0;1;2;17;17;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T20:00+01:00;2026-03-11T21:00+01:00;2026-03-11;20:00;21:00;1;118;100,0;1;1;0;0;100,00;116;2;0;1;1;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T20:00+01:00;2026-03-11T21:00+01:00;2026-03-11;20:00;21:00;3;23;100,0;1;1;0;0;100,00;6;17;0;0;2;15;15;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T20:00+01:00;2026-03-11T21:00+01:00;2026-03-11;20:00;21:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T20:00+01:00;2026-03-11T21:00+01:00;2026-03-11;20:00;21:00;Totalt i retning Øst;141;100,0;1;1;0;0;100,00;122;19;0;1;3;15;15;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T20:00+01:00;2026-03-11T21:00+01:00;2026-03-11;20:00;21:00;Totalt;141;100,0;1;1;0;0;100,00;122;19;0;1;3;15;15;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T21:00+01:00;2026-03-11T22:00+01:00;2026-03-11;21:00;22:00;1;107;100,0;1;1;0;3;97,20;100;4;3;1;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T21:00+01:00;2026-03-11T22:00+01:00;2026-03-11;21:00;22:00;3;28;100,0;1;1;0;0;100,00;10;18;0;1;1;16;16;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T21:00+01:00;2026-03-11T22:00+01:00;2026-03-11;21:00;22:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
